tvdbId,Name,Service(s)
383275,Squid Game,Netflix
393110,Welcome to Eden,Netflix
175001,Teen Wolf,MTV
397441,My Name (2021),Netflix
387115,The Queen's Gambit,Netflix
79501,Heroes,NBC
273181,Better Call Saul,AMC
80337,Mad Men,AMC
337302,Counterpart,STARZ
405481,Farzar,Netflix
320724,Legion,FX
361720,Joe Lycett's Got Your Back,Channel 4
81189,Breaking Bad,AMC
314087,The Grand Tour (2016),Amazon Prime Video
280619,The Expanse,Amazon Prime Video
378746,Never Have I Ever,Netflix
70626,Charmed,The WB
340234,Disenchantment,Netflix
376055,The Prince,HBO Max
338186,Succession,HBO
94571,Community,Yahoo! Screen
365098,Inside Job,Netflix
295829,The Man in the High Castle,Amazon Prime Video
357690,Hanna,Amazon Prime Video
318009,Norsemen,NRK1
396967,Parallels,Disney+
314544,Travelers (2016),Netflix
248742,Person of Interest,CBS
397060,Wednesday,Netflix
366384,Shadowplay,ZDF
312505,Dirk Gently's Holistic Detective Agency,BBC America
281535,Forever (2014),ABC (US)
358884,Traitors,Channel 4
254243,Impractical Jokers,truTV
364007,Primal,Adult Swim
420279,Rick and Morty: The Anime,Adult Swim
176941,Sherlock,BBC One
79511,Torchwood,BBC Three
79479,Robin Hood,BBC One
301224,Dickensian,BBC One
81161,Lark Rise to Candleford,BBC One
364107,Love Island (US),Peacock
362237,The New York Times Presents,FX
393269,Tell Me Lies,Hulu
270913,Quick Draw,Hulu
75299,The Sopranos,HBO
360893,Chernobyl,HBO
360733,Watchmen,HBO
73508,Rome,HBO
364315,The Nevers,HBO
364106,Avenue 5,HBO
422023,The Anarchists,HBO
393434,Man vs. Bee,Netflix
329089,Ozark,Netflix
264586,Orange Is the New Black,Netflix
363024,The Dropout,Hulu
369301,The Great,Hulu
74058,Boston Legal,ABC (US)
250487,American Horror Story,FX
268009,Gogglebox,Channel 4
75351,Max & Paddy's Road to Nowhere,Channel 4
421396,The End Is Nye,Peacock
410241,Motorway Cops: Catching Britain's Speeders,Channel 5 (UK)
267440,Attack on Titan,NHK
71663,The Simpsons,FOX
298130,Married at First Sight UK,E4
281621,Jane the Virgin,The CW
361868,Stargirl,The CW
283196,Married at First Sight,Lifetime
368012,The Circle (US),Netflix
